Keyboard Config|键盘设置
Can be exchanged for 5000 \nteam points.|价值５０００点的公会点数\n能交换便利道具
Can be exchanged for \n10000 team points.|价值１００００点的公会点数\n能交换便利道具
A ticket made from high \nquality Photons.|高纯度光子卡片\n被称作必要的人物在哪里……
Epsilon's defensive \nparts, if used with a \ncertain item it will \nbecome...|厄普西隆的防御外壳\n好象和什么组合就能使用……
The Shell of De Rol Le, \nif used with a certain \nitem it will become...|飞裂开的迪·洛尔·雷的表壳\n非常轻但是很坚硬\n说不定能在哪里使用
The mysterious artifact \nradiates photon outwards \nas you hold it. There is \nsomeone who needs this...|当你持有它时，这个神秘的\n人造物会向外辐射光子。\n似乎有人在回收这种物品
A mysterious ore that \nemits a starlight.\nThere is someone who\nneeds this...|一种散发着星光的神秘矿石。\n似乎有人在回收这种物品
A red crystal.\nThere is someone who \nneeds this...|一颗红色水晶。\n似乎有人在回收这种物品
A blue crystal.\nThere is someone who \nneeds this...|一颗蓝色水晶。\n似乎有人在回收这种物品
A yellow crystal.\nThere is someone who \nneeds this...|一颗黄色水晶。\n似乎有人在回收这种物品
A green crystal.\nThere is someone who \nneeds this...|一颗绿色水晶。\n似乎有人在回收这种物品
A mysterious book.\nThere is someone who \nneeds this...|一本神秘的书籍。\n似乎有人在回收这种物品
An ore said to be found\nonly by the chosen few.\nThere is someone who \nneeds this...\n|据说是只有天选之人\n才能发现的矿石。\n似乎有人在回收这种物品
Fragments of mysterious orb.\nThere is someone who \nneeds this...|神秘光珠的碎片。\n似乎有人在回收这种物品
A sword with a Photon \nblade.\nAttacks 1 enemy.|具有光子刃的剑\n攻击单体敌人
A sword with good \naccuracy and power.|高性能的光剑\n精度和威力都很高
An extremely high \nperformance sword.|非常高性能的光剑\n光剑系武器中的上等品
A superior sword usable \nonly by masters.|只有具备优秀能力的人\n才能够操纵的超高性能的光剑
An exceptional sword.\nHas amazing power.|最高等级的光剑之一\n具有惊人的威力
Replica of a saber once \nused by the military.\nAn extremely common \nreplica.|按照某军人的爱剑仿制的光剑\n有很多复制品\n其中有部分是军方制造的
A legendary sword long \nsought after by warriors.\nIts special attack \nfreezes enemies.|剑士都想拥有的传说之剑\n\n特殊攻击：冰冻
A legendary sword known \nas "The Knight's Blade."\nIts special attack\nsteals experience points.|被誉为“骑士之剑”的传说之剑\n它的破坏力连敌人也觉得恐惧\n\n特殊攻击：吸收经验值
A large weapon with a \nPhoton blade.|具有光子刃的大剑
A large sword with good \naccuracy and power.|高性能的大剑\n精度和威力都很高
A large, extremely \nhigh-performance sword.|非常高性能的大剑\n大剑系武器中的上等品
A superior large sword \nusable only by masters.|只有具备优秀能力的人\n才能够操纵的超高性能的大剑
An exceptional large \nsword.\nHas amazing power.|最高等级的大剑之一\n具有惊人的威力
Replica of a sword once \nused by the military.\nAn extremely common \nreplica.|某军人爱刀的量产型复制品\n有很多复制品\n其中有部分是军方制造的
A sword said to protect \nits bearer in any battle.\nIts special attack steals \nHP.|相传手持此剑的人无论\n在什么战斗中都可以生还\n\n特殊攻击：吸收ＨＰ
A legendary sword borne \nby one who defeated a \ndragon.\nAdds an explosive fire \nattack.|相传打倒龙的人\n曾使用过的大剑\n\n特殊攻击：火焰
A short Photon sword.\nAttacks enemies twice.|具有光子刃的匕首\n可以两次攻击
A short sword with good \npower and accuracy.|高性能的匕首\n精度和威力都很高
An extremely high \nperformance short sword.|非常高性能的匕首\n匕首系武器中的上等品
A superior short sword \nusable only by masters.|只有具备优秀能力的人\n才能够操纵的超高性能的匕首
An exceptional short \nsword.\nHas amazing power.|最高等级的匕首之一\n具有惊人的威力
A short sword named for \nits dance-like attack.\nIts special attack \nparalyzes enemies.|拥有的人都会很开心\n因此而得名的传说匕首\n\n特殊攻击：麻痹
A legendary short sword \nnamed for all the blood \nthat it spilled.\nIts special attack halves \nenemy HP.|挥舞时有血随之飞舞\n因此而得名的传说匕首\n\n特殊攻击：伤害敌人一半ＨＰ
A legendary short sword \nthat leaves cross-shaped \nscars on its victims.\nAdds lightning damage.|据说被它击败的敌人\n都会留有十字疤痕的传说匕首\n\n特殊攻击：雷电\n
A long sword with a \nPhoton blade.\nHits multiple enemies.|具有光子刃的长刀\n攻击群体敌人
A long sword with good \naccuracy and power.|高性能的长刀\n精度和威力都很高
An extremely high \nperformance long sword.|非常高性能的长刀\n长刀系武器中的上等品
A superior long sword \nusable only by masters.|只有具备优秀能力的人\n才能够操纵的超高性能的长刀
An exceptional long sword.\nHas amazing power.|最高等级的长刀之一\n具有惊人的威力
A legendary long sword \nmade of precious pure \nPhotons.\nIts special attack steals \nenemy TP.|贵重的纯光子制作的传说长刀\n\n特殊攻击：吸收ＴＰ
A legendary long sword \nfor the wealthy.\nCan launch a powerful \nattack at the cost of \nMeseta.|只有富豪才能拥有的传说长刀\n\n特殊攻击：消耗金钱发出强劲攻击
A legendary long sword \nthat is said to become \nsharper with every blow.\nIts special attack \nfreezes enemies.|据说越用越锋利的传说长刀\n\n特殊攻击：冰冻
A throwing blade that \nhits multiple enemies.|能够发射光子刃的投刃\n攻击群体敌人
A throwing blade with \ngood power and accuracy.|高性能的投刃\n精度和威力都很高
An extremely high \nperformance throwing \nblade.|非常高性能的投刃\n投刃系武器中的上等品
A superb throwing blade \nusable only by masters.|只有具备优秀能力的人\n才能够操纵的超高性能的投刃
An exceptional throwing \nblade.\nHas amazing power.|最高等级的投刃之一\n具有惊人的威力
A legendary throwing \nblade used by elite \nassassins.\nIts special attack can \nkill instantly.|据说是一流的杀手用过的传说投刃\n\n特殊攻击：即死
A legendary throwing \nblade used by a Hunter \ncalled "The Liberator."\nCauses confusion.|传说中的猎人“解放者”喜欢用的投刃\n\n特殊攻击：混乱
A legendary throwing \nblade for the brave.\nSacrifices HP for a \npowerful special attack.|只有勇者才能拥有的传说投刃\n\n特殊攻击：消耗ＨＰ发出强劲攻击
A small gun that fires \nPhoton bullets.|发射光子子弹的光枪
A small gun with good \naccuracy and power.|高性能的光枪\n精度和威力都很高
An extremely high \nperformance small gun.|非常高性能的光枪\n短枪系武器中的上等品
A superior small gun \nusable only by masters.|只有具备优秀能力的人\n才能够操纵的超高性能的光枪
An exceptional small gun.\nHas amazing power.|最高等级的光枪之一\n具有惊人的性能
A legendary, \nhigh-performance pistol.\nIts special attack causes \nparalysis.|精度和威力都被\n誉为佳品的传说光枪\n\n特殊攻击：麻痹
A pistol used by military \nmechanic group "Team OO."\nProves the bearer to be\na member of the team.|军队的机械化军团\n“ＴＥＡＭ００”使用的防身光枪\n是其成员的标志
A legendary pistol \nreserved for high-ranking \nofficers aboard Pioneer 1.\nAdds lightning damage.|只有先驱者１号的军官\n才允许使用的传说光枪\n\n特殊攻击：雷电
A machine gun that fires \na hail of Photon bullets.|可以连续发射无数光子子弹的机枪
A machine gun with good \npower and accuracy.|高性能的机枪\n精度和威力都很高
An extremely high \nperformance machine gun.|非常高性能的机枪\n机枪系武器中的上等品
A superior machine gun \nusable only by masters.|只有具备优秀能力的人\n才能够操纵的超高性能的机枪
An exceptional machine \ngun.\nHas amazing power.|最高等级的机枪之一\n具有惊人的性能
A legendary machine gun \nfrom the Vise Corp.\nSacrifices HP for a \npowerful special attack.|ＶＩＳＥ公司最高水准的产品\n\n特殊攻击：消耗ＨＰ发出强劲攻击
A legendary machine gun \nfrom the Justice Corp.\nIts special attack \nfreezes enemies.|ＪＵＳＴＩＣＥ公司\n最高水准的产品\n\n特殊攻击：冰冻
A legendary machine gun \nfrom the Combat Corp.\nIts special attack \nparalyzes enemies.|ＣＯＭＢＡＴ公司\n最高水准的产品\n\n特殊攻击：麻痹
A shotgun that fires a \nspread of Photon bullets.|一次发射数发光子子弹的散弹枪
A shotgun with good \naccuracy and power.|高性能的散弹枪\n精度和威力都很高
An extremely high \nperformance shotgun.|非常高性能的散弹枪\n散弹枪系武器中的上等品
A superior shotgun usable \nonly by masters.|只有具备优秀能力的人\n才能够操纵的超高性能的散弹枪
An exceptional shotgun.\nHas amazing power.|最高等级的散弹枪之一\n具有惊人的性能
A legendary shotgun made \nwith concentrated pure \nPhotons.\nIts special attack steals \nenemy HP.|使用纯光子压缩制成的传说散弹枪\n\n特殊攻击：吸收ＨＰ
A legendary shotgun with \npower that rivals a \nmeteor strike.\nIts special attack steals \nenemy TP.|因攻击就像陨石下落一样\n而享有盛名的传说散弹枪\n\n特殊攻击：吸收ＴＰ
A legendary shotgun with \ntremendous power.\nIts special attack steals \nenemies' experience \npoints.|冲击力超群的传说散弹枪\n\n特殊攻击：吸收经验值
A long-range gun that \nfires Photon bullets.|发射光子子弹的步枪\n射程很远
A rifle with good \naccuracy and power.|高性能的步枪\n精度和威力都很高
An extremely high \nperformance rifle.|非常高性能的步枪\n长枪系武器中的上等品
A superior rifle usable \nonly by masters.|只有具备优秀能力的人\n才能够操纵的超高性能的步枪
An exceptional rifle.\nHas amazing power.|最高等级的步枪之一\n具有惊人的性能
A legendary rifle crafted \nby Visk, one of the three \nmasters.\nIts special attack \nparalyzes enemies.|三大步枪制作人之一\nＶＩＳＫ制作的传说步枪\n\n特殊攻击：麻痹
A legendary rifle crafted \nby Wals, one of the three \nmasters.\nIts special attack \nconfuses enemies.|三大步枪制作人之一\nＷＡＬＳ制作的传说步枪\n\n特殊攻击：混乱
A legendary rifle crafted \nby Justy, one of the \nthree masters.\nIts special attack halves \nenemy HP.|三大步枪制作人之一\nＪＵＳＴＹ制作的传说步枪\n\n特殊攻击：伤害敌人一半ＨＰ
A cane usable only by \nForces.\nHas low attack power.|魔法师专用手杖\n命中和威力一般\n装备后回避力上升
A high-quality cane with \naverage power.|高性能的手杖\n命中和威力一般\n装备后回避力上升
A superior cane usable \nonly by masters.|只有具备优秀能力的人\n才能够操纵的超高性能的手杖\n装备后回避力上升
An exceptional cane.\nHas amazing power.|最高等级的手杖之一\n具有惊人的性能\n装备后回避力上升
A legendary cane made of \nsturdy Laconium metal.\nIts special attack adds \nexplosive fire damage.|用坚硬的特殊金属制成的传说手杖\n增加火球术的威力\n\n特殊攻击：火焰
Legendary cane of Adaman, \nwhen equipped, boosts \nBarta.\nIts special attack \nfreezes enemies.|用魔石“金刚石”制成的传说手杖\n增加冻气术的威力\n\n特殊攻击：冰冻
Legendary cane of \nZumiuran, when equipped, \nboosts Zonde.\nIts special attack adds \nlightning damage.|用魔石“业障石”制成的传说手杖\n增加闪电术的威力\n\n特殊攻击：雷电
A battle cane made only \nfor Forces.|魔法师专门用于战斗的长杖\n装备后防御力上升
A battle cane with good \naccuracy and power.|高性能的长杖\n命中和威力都很高\n装备后防御力上升
A superior battle cane \nusable only by masters.|只有具备优秀能力的人\n才能够操纵的超高性能的长杖\n装备后防御力上升
An exceptional battle \ncane.\nHas amazing power.|最高等级的长杖之一\n具有惊人的性能\n装备后防御力上升
A legendary battle cane \nmade so Forces can hold \ntheir own in a fight.\nHalves enemy HP.|使魔法师也可以\n近身战斗的传说长杖\n\n特殊攻击：伤害敌人一半ＨＰ\n
A legendary battle cane \nfor brave Forces.\nIts special attack uses \nTP to launch a powerful \nstrike.|魔法师中的勇者喜欢\n用的传说长杖\n\n特殊攻击：消耗ＴＰ发出强劲攻击
A legendary battle cane \nmade for a Force for \nintense fights.\nIts special attack steals \nenemies' HP.|为了让魔法师在激烈的战斗中\n也能够生存而用心制作的传说长杖\n\n特殊攻击：吸收ＨＰ
A magic cane for Forces.\nBoosts mind energy.|魔法师专用魔杖\n装备后精神力提升
A magic cane with good \npower and attributes.|高性能的魔杖\n命中和威力都很高\n装备后精神力提升
A superior magic cane \nusable only by masters.|只有具备优秀能力的人\n才能够操纵的超高性能的魔杖\n装备后精神力提升
An exceptional magic cane.\nHas amazing power.|最高等级的魔杖之一\n具有惊人的性能\n装备后精神力提升
A legendary magic cane \ncontaining the power of \nfire.\nIt's special attack adds \nfire damage.|注入了炎能力的传说魔杖\n增加炎系魔法的威力\n\n特殊攻击：火焰
Legendary magic cane with \nthe power of ice.\nIts special attack \nfreezes enemies.|注入了冰能力的传说魔杖\n增加冰系魔法的威力\n\n特殊攻击：冰冻
A legendary magic cane \ncontaining the power of \nlightning.\nAdds lightning damage.|注入了雷能力的传说魔杖\n增加雷系魔法的威力\n\n特殊攻击：雷电
Claws with photon blades \nfor quick attacks with \nright hand.\nIts special attack steals \nenemies' HP.|具有光子刃的爪\n装备在右手上迅速地发出攻击\n\n特殊攻击：吸收ＨＰ
Legendary claws that kill \nsilently.\nIts special attack can \nfell enemies with a \nsingle blow.|无声地葬送敌人的传说之爪\n\n特殊攻击：即死
Replica of a claw of a \nlegendary Newman.|传说中“妮之爪”的复制品\n\n特殊攻击：吸取ＨＰ
A double-bladed Photon \nsword.\nIts special attack steals \nenemies' TP.|剑柄的两端都有光子刃\n一次可以攻击两下的高性能双头剑\n\n特殊攻击：吸收ＴＰ
A legendary double-bladed \nsword usable only by male \nHunters and Rangers.\nCauses confusion.|男性战士和枪手才能装备的\n传说双头剑\n\n特殊攻击：混乱
The ultimate \ndouble-bladed sword, only \nfor masters.\nIts special attack halves \nenemy HP.|最强剑士的证明\n最高等级的双头剑\n\n特殊攻击：伤害敌人一半ＨＰ
Gear for the fists and \nfeet to boost attack \npower for unarmed combat.\nIts special attack causes \nparalysis.|在近身作战中为了提高攻击力\n而开发的装备在手和脚上的武器\n\n特殊攻击：麻痹
Gear that boosts attack \npower for unarmed combat.\nIts special attack \nfreezes enemies.|在近身作战中也能具有同武器\n一样的攻击力的武器\n\n特殊攻击：冰冻
The ultimate gear for \nunarmed combat.\nIts special attack steals \nexperience points.|近身作战中最强攻击力的武器\n\n特殊攻击：吸收经验值
Unarmed combat gear that \nallows attacks at sonic \nspeeds.\nIts special attack steals \nexperience.|近身作战中能够发出\n音速攻击的武器\n\n特殊攻击：吸收经验值
AUW 1975 model.\nMade by Dousetsu.|ＡＵＷ１９７５年\n多闻锻造\n\n特殊攻击：消耗ＨＰ发出贯穿攻击
AUW 1983 model.\nMade by Dousetsu.|ＡＵＷ１９８３年\n多闻锻造
AUW 2001 model.\nMade by Kikoku.|ＡＵＷ２００１年\n持国锻造
AUW 1991 model.\nMade by Kikoku.|ＡＵＷ１９９１年\n持国锻造
AUW 1977 model.\nMade by Jou'un.|ＡＵＷ１９７７年\n增长锻造
AUW 1980 model.\nMade by Tengai.|ＡＵＷ１９８０年\n广目锻造
AUW 1963 model.\nMade by Jou'un.|ＡＵＷ１９６３年\n增长锻造
AUW 2018 model.\nMade by Kikoku.|ＡＵＷ２０１８年\n持国锻造
AUW 1977 model.\nMade by Tengai.|ＡＵＷ１９７７年\n广目锻造
A cursed scythe that \ndrains HP from the user.\nIts special attack drains \nHP for a powerful strike.|缓慢吸取装备者ＨＰ的被诅咒镰刀\n\n特殊攻击：消耗ＨＰ发出强劲攻击
A cursed, but powerful \nscythe that drains HP.|缓慢吸取装备者ＨＰ的被诅咒镰刀\n但是威力非常可怕\n\n特殊攻击：消耗ＨＰ发出暗之波动
A custom shotgun that \nshoots countless needles.\nIts special attack \nparalyzes enemies.|向敌人发射无数的\n小针的特殊散弹枪\n\n特殊攻击：麻痹
A special gun that \nimpales enemies with a \ngiant spear.\nIts special attack \nparalyzes enemies.|向敌人发射巨大光束\n把敌人刺穿的特殊长枪\n\n特殊攻击：麻痹
A powerful bazooka with \nhighly destructive shells.|发射具有很强破坏力的火箭\n\n特殊攻击：伤害敌人一半ＨＰ
A flamethrower that \nincinerates enemies with \nhuge fireballs.\nIts special attack \nconfuses enemies.|发射巨大火球\n把敌人烧光的特殊武器\n可以连接某种扩展端口\n\n特殊攻击：混乱
The ultimate \nweapon?--hard, yet supple \nand smooth!|有硬度也有弹性\n图案也是绝无仅有的\n最强的武器？？！
A magic cane made from \nthe cane of a Chaos \nSorcerer.\nReduces TP cost by 10% \nand steals enemy TP.|由混沌法师手中所持的杖\n改造而成的长杖\n增加中级攻击魔法的威力\n魔法消费的ＴＰ减少１０％\n\n特殊攻击：吸收ＴＰ
An enemy weapon made from \nthe hands of a Sinow Beat.\nIts special attack can \nkill in a single strike.|蓝机忍的双手\n改造而成的兵器之一\n\n特殊攻击：即死
An enemy weapon made from \nthe hands of a Pan Arms.\nIts special attack \nparalyzes enemies.|合体怪的双手改造而成的兵器\n\n特殊攻击：麻痹
Delsaber's hand, now an \nenemy weapon.\nPowers up 100%% if used \nwith a SHIELD OF DELSABER.\nLightning damage.|剑魔的右手改造而成的兵器\n和同名的盾一起装备攻击力倍增\n\n特殊攻击：雷电
An enemy weapon made from \na Bringer's hand.\nIts special attack cuts \nenemy HP to 1/4.|混沌骑士的右手改造而成的兵器\n\n特殊攻击：敌人ＨＰ剩余１/４
A special gun made by a \nmysterious scientist out \nto conquer the world.\nDoes fire damage.|企图征服世界的\n某科学家开发的特殊的枪\n\n特殊攻击：火焰
A one-handed axe with a \nPhoton blade.\nIts special attack steals \nHP.|具有光子刃的单手斧\n\n特殊攻击：吸收ＨＰ
A large sword with small, \nspinning Photon blades.\nIts special attack steals \nenemy HP.|利用旋转光子刃\n打击敌人的特殊大剑\n\n特殊攻击：吸收ＨＰ
A special weapon made \nfrom a legendary cane.\nIts ripple effect boosts \nthe power of Grants.|以传说中的神圣手杖为原形\n研制的特殊长杖\n提高圣光术的威力\n特殊攻击：火焰
A special battle cane \nwith needles on its tip.\nIts special attack steals \nTP.|用前端无数的针\n打击敌人的特殊手杖\n\n特殊攻击：吸收ＴＰ
Magical Heart-Key cane.\nBoosts mid level attack \ntechniques.\nIts special attack adds \nlightning damage.|把魔石「心键」装在前端\n提高中级攻击魔法威力\n的特殊魔杖\n\n特殊攻击：雷电
A special magical cane \nfor Forces, made by an \nadept in science and \nmagic.\nCasts Barta.|对魔术很有心得的科学家\n研制的军队使用的特殊魔杖\n\n特殊攻击：冰冻
A mysterious cane known \nonly as the ultimate cane.\nIts abilities are unknown.|只知道是传说中的终极之杖\n其他的一切都不明\n它的能力、性能全都是谜
The ultimate gun, a \nweapon veiled in mystery.\n"Divine Punishment," its \nspecial attack, is based \non time...|所有的一切都不知道的终极枪\n被称作“天罚”的特殊攻击\n会随着时间……？
Few facts or even rumors \nare known about this \nultimate sword.\nIts abilities are a \nmystery.|没有人得到过的终极圣剑\n所以它的一切都被\n神秘传说包围着\n它的能力全都是谜
Short gun equipped with a \nsuppressor.\nIt has accuracy that is \ntrustworthy.|发射光子子弹的光枪\n拥有超群的命中力
Legendary sword found in \nthe ancient ruins.\nIt absorbs enemy \nexperience.|从古代遗址出土的古剑\n\n特殊攻击：吸收经验值
A special weapon created \nfrom the idea of \ntraditional entertainment.\nIts special attack \nparalyzes enemies.|古代叫“道化”的人们\n喜爱用的特殊武器\n\n特殊攻击：麻痹
This cursed sword sucks \nHP from the person who \nwields it.\nIts special attack can \nkill an enemy with 1 hit.|缓慢吸取装备者ＨＰ的\n被诅咒的妖刀\n曾让持有者的灵魂疯狂\n
The ultimate weapon that \nwas created from a wok..?|家庭用烹调锅为原形\n使用现代科学的精制的\n终极武器？？！
Once a child's toy, it \nhas been refined over the \nyears to become the \nultimate toy.\nIts power is devastating.|最早是小孩玩具\n但是反复改良后成为\n比其他武器破坏力更强的\n终极玩具
The ancient characters on \nits blade produce magic.\nIts special attack is the \nfire bomb.|刀刃上刻着发出魔力的古代文字\n\n特殊攻击：火焰
This red saber is a \nprototype, so its finish \nis incomplete.\nLetters, which say "He," \nare carved on the hilt.|全部用红色零件作成的武器\n像试制品一样做工粗糙\n手柄上刻着ＨＥ的字样
The crystals on both \nsides of the staff can \ninflict a lot of damage.\nIts special attack \nfreezes enemies.|两端镶有矿石的双头武器\n给敌人造成很大的伤害\n\n特殊攻击：冰冻
The length of this staff \ncan be changed.\nIts special attack can \ntake away half of an \nenemy's health.|可以随意变换长度的双头武器\n\n特殊攻击：伤害敌人一半ＨＰ
A mysterious ultimate \nweapon.\nIts abilities are unknown.|一切都被神秘笼罩的终极武器\n它的效果、性能都是谜
Only certain players can \nuse this ultimate weapon.\nDon't be deceived by its \nlooks.|极少部分人可以装备的终级纸扇\n具有从外表想象不到的破坏力
Owned by Orochi Agito, \nthe blade was made along \nthe same lines as Agito, \nwith a carved seal on the \nblade.|大蛇腭的里之刀\n刀身的材料与蛇腭一样\n上面刻着罪的印记
Ancient sword with its \npower sealed by an \nunknown stamp.\nThe seal opens when all \ntechniques are used.|被神秘封印的太古之刀\n有时因为封印的力量\n装备者的行动力会被剥夺\n封印解开后会产生绝对的破坏力
This red sword is a \nprototype, so its finish \nis incomplete.\nLetters, which say "a," \nare carved on the hilt.|全部由红色零件制成的大剑\n像试制品一样做工粗糙\n手柄把上刻着Ａ的字样
AUW 1985 model.\nMade by Kikoku.|ＡＵＷ１９８５年\n持国制作\n
This round sword was \nbuilt for short-range \nattack.\nThe attack speed is very \nfast and it can kill with \n1 hit.|使用光子圆形刃近距离\n快速打击敌人的武器\n\n特殊攻击：即死
The excellent combination \nof a wok and a ladle.\nIt's very useful for both \nattack and defense.|用中国随处可见的锅和玉石\n结合而成的最佳组合\n攻防一体抵御所有敌人
A mysterious blade for \nuse with both hands.\nIt's very powerful, and \nif you use a certain \nitem, it will become...|隐藏着不可思议力量的双刃\n它的威力非常强大\n但是最终的形态\n还需要某些零件……
This red blade is a \nprototype, so its finish \nis incomplete.\nLetters, which say "t," \nare carved on the hilt.|全部由红色零件作成的匕首\n像试制品一样做工粗糙\n手柄上刻着Ｔ的字样
Proof of Madam.\nMadam's dignity boosts \nthe effective range of \nResta and Anti.|庄重女士的证明\n增加圣泉术和状态术的范围
Proof of Madam.\nMadam's dignity boosts \nthe effective range of \nShifta and Deband.|高雅女士的证明\n增加强攻术和强体术的范围
The blades can kill an \nenemy with only one hit.\nIts special attack can \ntake away half of an \nenemy's health.|用两端的光子刃一刀就把\n敌人切成两半的特殊武器\n\n特殊攻击：伤害敌人一半ＨＰ
A very powerful sword.\nOnly Hunters and Rangers\ncan use it due to it's\nstringent requirements.|破坏力相当大的冲击斧\n由于不好驾驭\n因此只有ＨＵ和ＲＡ可以装备\n\n特殊攻击：消耗ＰＢ发出冲击波
This red partisan is a \nprototype, so its finish \nis incomplete.\nLetters, which say "h," \nare carved on the grip.|全部用红色零件作成的长刀\n像试制品一样做工粗糙\n手柄上刻着Ｈ的字样
This throwing weapon was \nbased on the ancient \nninja's weapon.|以古代忍者的武器为原形\n开发的投掷武器\n\n特殊攻击：伤害敌人一半ＨＰ
When thrown, this fan can \nkill several enemies at \nonce.\nIts special attack steals \n12%% of the enemy's \nexperience.|飞掷光子扇打击群体敌人的\n女性专用投掷武器\n\n特殊攻击：吸收敌人１２％经验值
This red slicer is a \nprototype, so its finish \nis incomplete.\nLetters, which say "cl," \nare carved on the grip.|全部用红色零件作成的投刃\n像试制品一样做工粗糙\n手柄上刻着ＣＬ的字样
A small gun with "GULD" \nengraved on the right \nside of its barrel.\nIts special attack steals \nenemy TP.|枪把的右侧刻着\n“伽尔德”字样的神秘光枪\n男性枪手专用\n\n特殊攻击：吸收ＴＰ
A small gun with "Milla" \nengraved on the right \nside of its barrel.\nIts special attack steals \nenemy HP.|枪把的左侧刻着\n“米拉”字样的神秘光枪\n女性枪手专用\n\n特殊攻击：吸收ＨＰ
This red gun is a \nprototype, so its finish \nis incomplete.\nLetters, which say "i," \nare carved on the barrel.|全部用红色零件制成的光枪\n像试制品一样做工粗糙\n手柄上刻着Ｉ的字样
The latest freeze gun \nuses latent heat energy \nto fire a freeze bomb.\nIts power to freeze is \nexcellent.|利用反气化热现象\n制造的最新冷冻枪\n由于它的性能太强\n有时甚至连装备者\n也一起冷冻……
A government certified \nscientist created this \nhigh- performance rifle \nbased on the A-35 rifle \nfunction.|以Ａ-３５式步枪为原形\n由官方科学家制造的\n高性能步枪\n\n特殊攻击：雷电
This weapon fires a punch \nbomb.\nIt does great damage, but \nsequence attacks are not \npossible.|发出铁拳伤害敌人的特殊武器\n不能连续攻击
Shaking the maracas with \na Latin rhythm produces \nshock waves to damage \nenemies.|随着拉丁音乐的旋律而摇动\n沙锤会发出无数的冲击波
These guns convert \nthought patterns into a \nlaser beam to destroy \nenemies.|双手装备\n将意念转换成激光攻击\n敌人的机枪\n机器人无法装备
This huge drill weapon \ncan be attached to your \nhand.\nIt is a very powerful, \nshort-range weapon.|发射钻头状导弹的特殊武器\n威力巨大\n机器人专用武器\n\n特殊攻击：贯穿攻击
This red mechgun is a \nprototype, so its finish \nis incomplete.\nLetters, which say "ff," \nare carved on the grip.|全部用红色零件制作的机枪\n像试制品一样做工粗糙\n手柄上刻着ＦＦ的字样
Belra's right hand was \nremodeled into this enemy \nweapon.\nIts special attack is \neven more powerful...|远古巨神像的右手改造而成\n\n特殊攻击：贯穿攻击
It fires a very powerful \nrocket bomb.\nIts special attack can \nconfuse enemies.|发射强力火箭导弹的\n机器人枪手专用武器\n\n特殊攻击：混乱
The stone on this cane \nincreases your mental \nstrength.\nIts special attack is \nlightning.|前端镶有辉石\n能够增加精神力的手杖\n\n特殊攻击：雷电
The windmill-shape gives \nthis cane its power.\nIn order to execute its \nspecial attack, hold the \nwind energy, and...|前端装有风车\n能量增强装置的特殊手杖\n储存风能量后\n发出特殊攻击的话……
The eyes on top of this \ncursed cane can kill \nenemies.\nIts special attack can \nalso kill enemies.|前端装有恶魔之眼\n不断地夺取对手生命的诅咒手杖\n它的威力非常大\n但是装备者的精神力也缓慢被夺走
Magical cane made for \nfemales.\nA useful weapon, its \nexquisite look also makes \nit a popular gift.|作为女性用手杖而研制\n除了作为武器之外\n还可以用作装饰品\n拥有很高的人气
Hildebears head was used \nto make this weapon.\nBoosts Foie.\nIts special attack can \nshoot fireballs.|狂暴巨猿的头部改造而成的武器\n增加火球术的威力\n\n特殊攻击：火焰
Hildeblue's head was used \nto make this weapon.\nBoosts Barta.\nIts special attack \nfreezes enemies.|狂暴白猿的头部改造而成的武器\n增加冻气术的威力\n\n特殊攻击：冰冻
The rabbit's head on the \ntip of this cane looks \nvery cute.\nPeople often use this \ncane as an accessory.|前端装有兔子头的特殊手杖\n作为装饰品比当作武器更有人气
A huge leaf.\nWeapon becomes more \npowerful once in contact \nwith water.|好大的叶子\n接触水后会提高威力
A dark weapon, infamous \nfor its malevolent \norigins.\nBoosts the penetrating \npower of Megid.|被称为恶魔的暗黑武器\n依靠咒语获得贯穿的特性
Chao tipped cane.\nFeel empowered with this \npopular character on your \nside.|前端配有查欧的杖\n所有人都希望得到的高人气武器
This is a cleaning tool \nthat was found in the \nancient ruins.\nSomething is carved on it.\nIt increases mental \nstrength.|古代遗址出土的扫除用具\n柄上有刻印\n可让装备者的精神力提高
An ancient document left \nby the developers of \ntechniques.\nThere may be secrets \nhidden inside...|魔法研发者遗留的古代书\n可能记载着某些秘密……
A magical lightning \ncharged cane.\nBoosts Zonde techniques.\nIts special attack adds \nlightning damage.|雷电的能量浓缩而成的魔杖\n提高雷系魔法的威力\n\n特殊攻击：雷电
Star tipped cane.\nBoosts 3 types of low \nlevel attack techniques.\nIts special attack adds \nlightning damage.|通过两端的星型增幅器\n增加初级魔法威力的魔杖\n\n特殊攻击：雷电
When you wave this magic \nfan once, it produces a \nstrong wind, which blows \nenemies away.|能把敌人吹飞的魔法扇\n便于操作的特殊武器
Flames from both ends of \nthis magic cane will burn \nenemies.\nIts special flame attack \nis very powerful.|两端装有火把魔杖\n特殊攻击发出的火球\n威力非常强大\n但由于它自身的灼热\n装备者也会消耗体力
This medical bag boosts \nthe effective range for \nResta and Anti, and \ngradually restores HP.|医疗中心使用的急救包\n增加圣泉术和状态术的范围\n装备者体力也可以慢慢回复
A Dragon's claw was used \nto make this weapon.\nIts special attack is \nFoie.|巨龙的爪子改造而成的武器\n\n特殊攻击：火焰
